# Wavelength (A)     Intensity
4466.199930     8838.000000
4471.718930     8863.000000
4477.237930     9020.000000
4482.756930     9008.000000
4488.275930     9176.000000
4493.794930     9120.000000
4499.313930     9471.000000
4504.832930     9445.000000
4510.351930     9534.000000
4515.870930     9412.000000
4521.389930     9504.000000
4526.908930     9290.000000
4532.427930     9571.000000
4537.946930     9484.000000
4543.465930     9568.000000
4548.984930     9343.000000
4554.503930     9564.000000
4560.022930     9412.000000
4565.541930     9627.000000
4571.060930     9530.000000
4576.579930     9775.000000
4582.098930     9676.000000
4587.617930     9912.000000
4593.136930     9836.000000
4598.655930     10077.000000
4604.174930     10032.000000
4609.693930     10099.000000
4615.212930     10162.000000
4620.731930     10313.000000
4626.250930     10210.000000
4631.769930     10405.000000
4637.288930     10579.000000
4642.807930     10720.000000
4648.326930     10707.000000
4653.845930     10826.000000
4659.364930     10937.000000
4664.883930     10899.000000
4670.402930     11124.000000
4675.921930     11397.000000
4681.440930     11507.000000
4686.959930     11522.000000
4692.478930     11733.000000
4697.997930     11755.000000
4703.516930     11962.000000
4709.035930     12208.000000
4714.554930     12527.000000
4720.073930     12646.000000
4725.592930     12953.000000
4731.111930     13201.000000
4736.630930     13346.000000
4742.149930     13682.000000
4747.668930     13961.000000
4753.187930     14122.000000
4758.706930     14231.000000
4764.225930     14515.000000
4769.744930     14747.000000
4775.263930     14968.000000
4780.782930     15084.000000
4786.301930     15183.000000
4791.820930     15306.000000
4797.339930     15361.000000
4802.858930     15537.000000
4808.377930     15610.000000
4813.896930     15467.000000
4819.415930     15194.000000
4824.934930     14724.000000
4830.453930     14271.000000
4835.972930     13649.000000
4841.491930     12611.000000
4847.010930     11876.000000
4852.529930     11314.000000
4858.048930     11055.000000
4863.567930     11331.000000
4869.086930     11914.000000
4874.605930     12658.000000
4880.124930     13543.000000
4885.643930     14434.000000
4891.162930     15202.000000
4896.681930     15852.000000
4902.200930     16298.000000
4907.719930     16417.000000
4913.238930     16824.000000
4918.757930     17116.000000
4924.276930     17372.000000
4929.795930     17597.000000
4935.314930     17865.000000
4940.833930     17947.000000
4946.352930     18082.000000
4951.871930     18208.000000
4957.390930     18552.000000
4962.909930     18591.000000
4968.428930     18562.000000
4973.947930     18653.000000
4979.466930     18786.000000
4984.985930     18822.000000
4990.504930     18887.000000
4996.023930     18775.000000
5001.542930     18765.000000
5007.061930     18673.000000
5012.580930     18705.000000
5018.099930     18700.000000
5023.618930     18861.000000
5029.137930     18769.000000
5034.656930     18940.000000
5040.175930     19033.000000
5045.694930     19146.000000
5051.213930     19245.000000
5056.732930     19310.000000
5062.251930     19320.000000
5067.770930     19770.000000
5073.289930     19704.000000
5078.808930     19654.000000
5084.327930     19720.000000
5089.846930     19885.000000
5095.365930     19904.000000
5100.884930     20119.000000
5106.403930     20065.000000
5111.922930     20183.000000
5117.441930     19990.000000
5122.960930     20082.000000
5128.479930     19884.000000
5133.998930     20023.000000
5139.517930     19960.000000
5145.036930     20049.000000
5150.555930     19849.000000
5156.074930     19988.000000
5161.593930     19899.000000
5167.112930     19858.000000
5172.631930     19689.000000
5178.150930     19896.000000
5183.669930     19878.000000
5189.188930     20123.000000
5194.707930     20049.000000
5200.226930     20175.000000
5205.745930     20142.000000
5211.264930     20324.000000
5216.783930     20058.000000
5222.302930     20132.000000
5227.821930     20054.000000
5233.340930     19962.000000
5238.859930     19762.000000
5244.378930     19846.000000
5249.897930     19638.000000
5255.416930     19508.000000
5260.935930     19130.000000
5266.454930     18928.000000
5271.973930     18792.000000
5277.492930     18947.000000
5283.011930     18913.000000
5288.530930     18746.000000
5294.049930     18589.000000
5299.568930     18521.000000
5305.087930     18444.000000
5310.606930     18167.000000
5316.125930     18204.000000
5321.644930     18105.000000
5327.163930     18157.000000
5332.682930     18093.000000
5338.201930     18321.000000
5343.720930     18148.000000
5349.239930     18026.000000
5354.758930     17800.000000
5360.277930     17997.000000
5365.796930     17950.000000
5371.315930     17860.000000
5376.834930     17354.000000
5382.353930     17246.000000
5387.872930     16974.000000
5393.391930     16884.000000
5398.910930     16880.000000
5404.429930     16812.000000
5409.948930     16580.000000
5415.467930     16714.000000
5420.986930     16388.000000
5426.505930     16528.000000
5432.024930     16305.000000
5437.543930     16310.000000
5443.062930     16065.000000
5448.581930     16160.000000
5454.100930     16021.000000
5459.619930     16200.000000
5465.138930     15867.000000
5470.657930     16004.000000
5476.176930     15944.000000
5481.695930     15955.000000
5487.214930     15733.000000
5492.733930     15717.000000
5498.252930     15502.000000
5503.771930     15597.000000
5509.290930     15471.000000
5514.809930     15303.000000
5520.328930     15200.000000
5525.847930     15126.000000
5531.366930     15131.000000
5536.885930     15030.000000
5542.404930     14750.000000
5547.923930     14614.000000
5553.442930     14418.000000
5558.961930     14260.000000
5564.480930     14067.000000
5569.999930     13813.000000
5575.518930     13864.000000
5581.037930     13753.000000
5586.556930     13638.000000
5592.075930     13419.000000
5597.594930     13350.000000
5603.113930     13238.000000
5608.632930     13162.000000
5614.151930     13066.000000
5619.670930     12970.000000
5625.189930     12774.000000
5630.708930     12489.000000
5636.227930     12303.000000
5641.746930     12323.000000
5647.265930     12102.000000
5652.784930     11947.000000
5658.303930     11718.000000
5663.822930     11659.000000
5669.341930     11318.000000
5674.860930     11226.000000
5680.379930     10956.000000
5685.898930     10792.000000
5691.417930     10659.000000
5696.936930     10659.000000
5702.455930     10510.000000
5707.974930     10475.000000
5713.493930     10261.000000
5719.012930     10365.000000
5724.531930     10256.000000
5730.050930     10365.000000
5735.569930     10389.000000
5741.088930     10358.000000
5746.607930     10241.000000
5752.126930     10205.000000
5757.645930     10189.000000
5763.164930     10344.000000
5768.683930     10279.000000
5774.202930     10342.000000
5779.721930     10446.000000
5785.240930     10410.000000
5790.759930     10293.000000
5796.278930     10312.000000
5801.797930     10427.000000
5807.316930     10521.000000
5812.835930     10500.000000
5818.354930     10564.000000
5823.873930     10678.000000
5829.392930     10704.000000
5834.911930     10528.000000
5840.430930     10510.000000
5845.949930     10551.000000
5851.468930     10428.000000
5856.987930     10308.000000
5862.506930     10187.000000
5868.025930     10136.000000
5873.544930     10033.000000
5879.063930     9836.000000
5884.582930     9764.000000
5890.101930     9697.000000
5895.620930     9566.000000
5901.139930     9416.000000
5906.658930     9425.000000
5912.177930     9376.000000
5917.696930     9315.000000
5923.215930     9131.000000
5928.734930     8958.000000
5934.253930     8723.000000
5939.772930     8703.000000
5945.291930     8542.000000
5950.810930     8528.000000
5956.329930     8304.000000
5961.848930     8290.000000
5967.367930     8164.000000
5972.886930     8005.000000
5978.405930     7864.000000
5983.924930     7705.000000
5989.443930     7475.000000
5994.962930     7419.000000
6000.481930     7220.000000
6006.000930     7102.000000
6011.519930     6896.000000
6017.038930     6844.000000
6022.557930     6680.000000
6028.076930     6507.000000
6033.595930     6228.000000
6039.114930     6201.000000
6044.633930     6106.000000
6050.152930     5912.000000
6055.671930     5670.000000
6061.190930     5583.000000
6066.709930     5551.000000
6072.228930     5474.000000
6077.747930     5244.000000
6083.266930     5185.000000
6088.785930     5095.000000
6094.304930     4961.000000
6099.823930     4728.000000
6105.342930     4563.000000
6110.861930     4429.000000
6116.380930     4316.000000
6121.899930     4209.000000
6127.418930     4132.000000
6132.937930     4101.000000
6138.456930     4048.000000
6143.975930     3936.000000
6149.494930     3861.000000
6155.013930     3776.000000
6160.532930     3765.000000
6166.051930     3683.000000
6171.570930     3530.000000
6177.089930     3515.000000
6182.608930     3391.000000
6188.127930     3333.000000
6193.646930     3283.000000
6199.165930     3203.000000
6204.684930     2997.000000
6210.203930     2975.000000
6215.722930     2958.000000
6221.241930     2911.000000
6226.760930     2787.000000
6232.279930     2736.000000
6237.798930     2763.000000
6243.317930     2716.000000
6248.836930     2627.000000
6254.355930     2499.000000
6259.874930     2421.000000
6265.393930     2432.000000
6270.912930     2380.000000
6276.431930     2361.000000
6281.950930     2312.000000
6287.469930     2236.000000
6292.988930     2138.000000
6298.507930     2133.000000
6304.026930     2099.000000
6309.545930     2055.000000
6315.064930     1994.000000
6320.583930     1973.000000
6326.102930     1950.000000
6331.621930     1887.000000
6337.140930     1812.000000
6342.659930     1807.000000
6348.178930     1757.000000
6353.697930     1743.000000
6359.216930     1705.000000
6364.735930     1654.000000
6370.254930     1665.000000
6375.773930     1618.000000
6381.292930     1581.000000
6386.811930     1537.000000
6392.330930     1523.000000
6397.849930     1492.000000
6403.368930     1434.000000
