px;A;R;G;B
134;598,4;0,00120816;0,000773464;0,00110259
135;607,2;0,00117378;0,000808344;0,00123562
136;616;0,00119606;0,000947328;0,00144304
137;624,8;0,0011776;0,000952071;0,00145286
138;633,6;0,00110201;0,000802773;0,00124795
139;642,4;0,00106548;0,000731855;0,00105612
140;651,2;0,000942406;0,000684371;0,000991089
141;660;0,000877531;0,000670174;0,000970112
142;668,8;0,000916112;0,00070672;0,000965071
143;677,6;0,00102578;0,000785363;0,000994884
144;686,4;0,0010647;0,000774193;0,00101171
145;695,2;0,001059;0,000754885;0,00102992
146;704;0,00109325;0,000825295;0,00109138
147;712,8;0,00111949;0,000853637;0,00111597
148;721,6;0,00107107;0,000800071;0,00108951
149;730,4;0,00101561;0,000778991;0,00105634
150;739,2;0,000995792;0,000730215;0,000979188
151;748;0,00101927;0,000695161;0,000942627
152;756,8;0,00100405;0,000728532;0,000968409
153;765,6;0,000938516;0,0007492;0,000997004
154;774,4;0,000915005;0,000716508;0,00103104
155;783,2;0,000950651;0,000732106;0,00116818
156;792;0,00105063;0,000865045;0,00138824
157;800,8;0,00105738;0,000838223;0,00141402
158;809,6;0,0010075;0,000711403;0,00129632
159;818,4;0,000985077;0,000676146;0,00115144
160;827,2;0,000965976;0,000691627;0,00101376
161;836;0,00100237;0,000700115;0,000940359
162;844,8;0,0010324;0,000663547;0,000937438
163;853,6;0,000983562;0,000715553;0,000997972
164;862,4;0,000963557;0,00083466;0,00106409
165;871,2;0,00097013;0,000820402;0,00107197
166;880;0,000898326;0,000744148;0,000973065
167;888,8;0,000812538;0,000695284;0,00084084
168;897,6;0,000823547;0,000664454;0,000834405
169;906,4;0,000920226;0,000713794;0,000952547
170;915,2;0,000967086;0,000742491;0,00105111
171;924;0,000954174;0,0007584;0,00109749
172;932,8;0,00102097;0,00088965;0,00119678
173;941,6;0,00107568;0,000956815;0,00118518
174;950,4;0,00103056;0,000893105;0,00101644
175;959,2;0,000973798;0,000779715;0,000913244
176;968;0,000970987;0,000720383;0,000929146
177;976,8;0,000988344;0,000687215;0,000976838
178;985,6;0,000991367;0,000693627;0,00100621
179;994,4;0,000972124;0,00069722;0,00102683
