px;A;R;G;B
576;4488;0,0171045;0,0228604;0,474996
577;4496,8;0,0166873;0,0232732;0,475175
578;4505,6;0,0169767;0,024776;0,491998
579;4514,4;0,019036;0,0287919;0,524458
580;4523,2;0,0201155;0,031768;0,560051
581;4532;0,0207239;0,0345447;0,591967
582;4540,8;0,0207566;0,0365217;0,616677
583;4549,6;0,0208204;0,0390319;0,635273
584;4558,4;0,0206452;0,040925;0,647891
585;4567,2;0,0205471;0,0428847;0,657288
586;4576;0,0200446;0,0436952;0,66381
587;4584,8;0,0197994;0,0451714;0,669952
588;4593,6;0,0196511;0,0459122;0,674653
589;4602,4;0,0193469;0,0464924;0,677975
590;4611,2;0,0187439;0,0463971;0,678934
591;4620;0,0186655;0,0467276;0,680717
592;4628,8;0,0182201;0,0464306;0,682664
593;4637,6;0,0178446;0,0462722;0,68484
594;4646,4;0,0172369;0,0453387;0,686096
595;4655,2;0,0171927;0,044779;0,68766
596;4664;0,0167177;0,0435934;0,688628
597;4672,8;0,0165746;0,0427188;0,689677
598;4681,6;0,0160369;0,0415557;0,68977
599;4690,4;0,015725;0,0410723;0,690296
600;4699,2;0,0154718;0,040711;0,691254
601;4708;0,0148733;0,0397244;0,691365
602;4716,8;0,0147942;0,0397923;0,692007
603;4725,6;0,0148615;0,039962;0,691992
604;4734,4;0,0146681;0,0407321;0,691211
605;4743,2;0,0140539;0,0435849;0,712087
606;4752;0,0139675;0,0459838;0,713851
607;4760,8;0,0139917;0,0486296;0,715664
608;4769,6;0,0139746;0,0515534;0,717581
609;4778,4;0,0142245;0,0547303;0,718534
610;4787,2;0,0143508;0,0588307;0,718716
611;4796;0,0144529;0,0633134;0,719084
612;4804,8;0,0147068;0,0686584;0,720134
613;4813,6;0,0151615;0,0753476;0,721624
614;4822,4;0,0153633;0,0832591;0,72306
615;4831,2;0,0158544;0,0925241;0,723165
616;4840;0,0163855;0,103245;0,722982
617;4848,8;0,0169564;0,115129;0,721862
618;4857,6;0,0169769;0,128168;0,720333
619;4866,4;0,0173988;0,142923;0,719
620;4875,2;0,0181782;0,159824;0,716962
621;4884;0,0190936;0,177724;0,71595
622;4892,8;0,0201147;0,196528;0,714243
623;4901,6;0,0209446;0,21559;0,711577
624;4910,4;0,022255;0,236568;0,709361
625;4919,2;0,0225204;0,2566;0,70704
626;4928;0,0230866;0,277551;0,704953
627;4936,8;0,0233722;0,297731;0,702722
628;4945,6;0,0230999;0,317924;0,698757
629;4954,4;0,0234948;0,337268;0,693807
630;4963,2;0,0240811;0,356408;0,688782
631;4972;0,0248176;0,373208;0,682257
632;4980,8;0,0255927;0,387427;0,672594
633;4989,6;0,0256708;0,397406;0,661068
634;4998,4;0,025676;0,402222;0,645816
635;5007,2;0,0255303;0,40196;0,625748
636;5016;0,0254419;0,397738;0,599561
637;5024,8;0,02365;0,389605;0,569745
638;5033,6;0,02164;0,383291;0,542268
639;5042,4;0,0201974;0,384287;0,523379
640;5051,2;0,0214273;0,397086;0,518288
641;5060;0,0239725;0,420758;0,525403
642;5068,8;0,0263521;0,450541;0,53958
643;5077,6;0,0272222;0,480726;0,553108
644;5086,4;0,0278567;0,50831;0,564172
645;5095,2;0,0262456;0,52869;0,57005
646;5104;0,0253359;0,542486;0,570363
647;5112,8;0,0245123;0,552769;0,568012
648;5121,6;0,0247357;0,561154;0,563449
649;5130,4;0,0240159;0,567651;0,557486
650;5139,2;0,0248747;0,573371;0,550188
651;5148;0,0241225;0,577149;0,540524
652;5156,8;0,0238226;0,57941;0,530028
653;5165,6;0,0237655;0,579921;0,518417
654;5174,4;0,0233429;0,581017;0,505804
655;5183,2;0,0229832;0,581308;0,492487
656;5192;0,0231552;0,581495;0,478974
657;5200,8;0,0236557;0,581707;0,466207
658;5209,6;0,0242876;0,583486;0,454267
659;5218,4;0,0243911;0,583792;0,441906
660;5227,2;0,0244641;0,584834;0,429249
661;5236;0,0243445;0,585976;0,417061
662;5244,8;0,0251002;0,588479;0,406147
663;5253,6;0,0245961;0,588057;0,393988
664;5262,4;0,0247839;0,589075;0,382917
665;5271,2;0,0253074;0,588751;0,371332
666;5280;0,0258675;0,589897;0,360506
667;5288,8;0,0261472;0,587804;0,348615
668;5297,6;0,0268712;0,587648;0,337707
669;5306,4;0,0269645;0,584472;0,32585
670;5315,2;0,027512;0,58272;0,315436
671;5324;0,0275468;0,578061;0,302929
672;5332,8;0,0281887;0,575389;0,289983
673;5341,6;0,0289883;0,571433;0,276541
674;5350,4;0,0303906;0,56957;0,265182
675;5359,2;0,0307805;0,564246;0,252801
676;5368;0,0313544;0,56164;0,242074
677;5376,8;0,0322511;0,559174;0,233198
678;5385,6;0,0338998;0,558233;0,224695
679;5394,4;0,0355134;0,557211;0,215949
680;5403,2;0,037055;0,556498;0,207235
681;5412;0,0378824;0,55454;0,199547
682;5420,8;0,0391905;0,553599;0,193078
683;5429,6;0,0403867;0,552047;0,187313
684;5438,4;0,0405378;0,548107;0,179416
685;5447,2;0,0405354;0,544228;0,172348
686;5456;0,0416267;0,54138;0,166708
687;5464,8;0,0431928;0,541101;0,162296
688;5473,6;0,0437048;0,538618;0,156913
689;5482,4;0,0432444;0,53506;0,15213
690;5491,2;0,0419232;0,529205;0,145789
691;5500;0,0415843;0,526238;0,141257
692;5508,8;0,0415829;0,523428;0,137172
693;5517,6;0,0410529;0,520615;0,133417
694;5526,4;0,0398842;0,515422;0,128922
695;5535,2;0,0383061;0,511425;0,125092
696;5544;0,036733;0,506455;0,121396
697;5552,8;0,0379669;0,520477;0,121315
698;5561,6;0,0369524;0,518622;0,118232
699;5570,4;0,0359202;0,516945;0,114684
700;5579,2;0,0340801;0,516252;0,11154
701;5588;0,0321869;0,513918;0,107919
702;5596,8;0,0310883;0,512474;0,105773
703;5605,6;0,02889;0,509817;0,102812
704;5614,4;0,027378;0,508296;0,100381
705;5623,2;0,0265621;0,506105;0,0976751
706;5632;0,0259196;0,505227;0,0951312
707;5640,8;0,0243665;0,502307;0,0918177
708;5649,6;0,0234742;0,501559;0,0889052
709;5658,4;0,022213;0,499401;0,0852272
710;5667,2;0,0219307;0,498405;0,0829661
711;5676;0,0206409;0,493578;0,0795714
712;5684,8;0,0203208;0,490055;0,0776798
713;5693,6;0,0203631;0,486551;0,0754762
714;5702,4;0,0203059;0,484682;0,0734446
715;5711,2;0,019704;0,480055;0,0707327
716;5720;0,0198455;0,476586;0,0688549
717;5728,8;0,0189731;0,471843;0,0655119
718;5737,6;0,0183423;0,468951;0,0623914
719;5746,4;0,0182016;0,465245;0,0598589
720;5755,2;0,018078;0,461683;0,0566815
721;5764;0,018196;0,457177;0,0538004
722;5772,8;0,0183947;0,45394;0,0517146
723;5781,6;0,0180376;0,449384;0,0492314
724;5790,4;0,0176727;0,44375;0,0470257
725;5799,2;0,0173047;0,438275;0,0450087
726;5808;0,0176318;0,434495;0,0435477
727;5816,8;0,0178469;0,431478;0,0418925
728;5825,6;0,0174309;0,426833;0,0396994
729;5834,4;0,0169263;0,422084;0,0375283
730;5843,2;0,0170415;0,417191;0,035561
731;5852;0,0175724;0,412608;0,0344961
732;5860,8;0,0175067;0,407979;0,0329662
733;5869,6;0,0182129;0,40518;0,0324985
734;5878,4;0,0185742;0,401453;0,0313092
735;5887,2;0,0189862;0,397255;0,0305902
736;5896;0,0190626;0,391328;0,0294411
737;5904,8;0,0199472;0,386755;0,0286566
738;5913,6;0,0211376;0,381834;0,0281175
739;5922,4;0,0227608;0,377823;0,0279252
740;5931,2;0,0244289;0,371833;0,0271266
741;5940;0,0273422;0,366461;0,0266472
742;5948,8;0,0313807;0,361072;0,0261452
743;5957,6;0,0373945;0,356823;0,0260927
744;5966,4;0,045018;0,352455;0,0260551
745;5975,2;0,0549106;0,347861;0,0265264
746;5984;0,066716;0,342703;0,0265596
747;5992,8;0,0803306;0,338087;0,0263461
748;6001,6;0,0966733;0,334336;0,0262986
749;6010,4;0,11558;0,331476;0,026445
750;6019,2;0,135993;0,329038;0,0266071
751;6028;0,156863;0,326496;0,0263754
752;6036,8;0,178161;0,323415;0,0261603
753;6045,6;0,199391;0,320643;0,026324
754;6054,4;0,220032;0,316513;0,0256803
755;6063,2;0,23908;0,311962;0,0250799
756;6072;0,256876;0,307739;0,0244046
757;6080,8;0,272814;0,302755;0,0242044
758;6089,6;0,285534;0,296624;0,0239842
759;6098,4;0,295179;0,28993;0,0235631
760;6107,2;0,304142;0,284385;0,0232409
761;6116;0,312028;0,278814;0,0232098
762;6124,8;0,31831;0,272429;0,0224567
763;6133,6;0,323424;0,266128;0,0219095
764;6142,4;0,327477;0,260021;0,0215115
765;6151,2;0,33155;0,254997;0,0216371
766;6160;0,334373;0,249582;0,0209127
767;6168,8;0,337023;0,245245;0,0207609
768;6177,6;0,337699;0,238691;0,0197712
769;6186,4;0,337917;0,232016;0,0190914
770;6195,2;0,33831;0,225705;0,0184837
771;6204;0,339051;0,220744;0,01836
772;6212,8;0,338855;0,214522;0,0178827
773;6221,6;0,338977;0,208669;0,01783
774;6230,4;0,337747;0,202388;0,0174526
775;6239,2;0,33635;0,196704;0,0175546
776;6248;0,334738;0,190372;0,0173047
777;6256,8;0,332853;0,184442;0,0174209
778;6265,6;0,329014;0,178041;0,0168962
779;6274,4;0,325908;0,172781;0,0166851
780;6283,2;0,323078;0,167288;0,0162505
781;6292;0,320969;0,161975;0,0161245
782;6300,8;0,31834;0,15577;0,0157282
783;6309,6;0,315861;0,149952;0,0154732
784;6318,4;0,312413;0,144185;0,0149212
785;6327,2;0,309238;0,138635;0,0146989
786;6336;0,306288;0,13414;0,0145782
787;6344,8;0,304106;0,130499;0,0144783
788;6353,6;0,301156;0,125526;0,0138
789;6362,4;0,297671;0,120603;0,0133464
790;6371,2;0,298234;0,120436;0,0140755
791;6380;0,297212;0,116701;0,0143391
792;6388,8;0,29593;0,113079;0,0141997
793;6397,6;0,294572;0,109514;0,0141027
794;6406,4;0,291687;0,105431;0,013516
795;6415,2;0,289165;0,102635;0,0134624
796;6424;0,28678;0,0994909;0,0130577
797;6432,8;0,285972;0,0968158;0,0131325
798;6441,6;0,285646;0,0939763;0,0130966
799;6450,4;0,284477;0,0916024;0,0132554
800;6459,2;0,281787;0,0887722;0,0134314
801;6468;0,279605;0,0869386;0,01379
802;6476,8;0,276795;0,0843647;0,0133712
803;6485,6;0,274654;0,0821928;0,0131714
804;6494,4;0,27212;0,0799314;0,0128949
805;6503,2;0,270122;0,0782715;0,0129815
806;6512;0,266815;0,0758216;0,0126021
807;6520,8;0,264387;0,0743415;0,0127357
808;6529,6;0,261868;0,0723935;0,0125737
809;6538,4;0,260359;0,0712061;0,0128589
810;6547,2;0,258351;0,0696245;0,0131638
811;6556;0,256274;0,068046;0,0135004
812;6564,8;0,254458;0,06623;0,013408
813;6573,6;0,253284;0,0649832;0,0136958
814;6582,4;0,251802;0,0638721;0,0138082
815;6591,2;0,250698;0,063344;0,0139203
816;6600;0,248991;0,0625093;0,0139256
817;6608,8;0,247462;0,0617756;0,0143981
818;6617,6;0,245427;0,060486;0,0146622
819;6626,4;0,244181;0,0593185;0,0149156
820;6635,2;0,242661;0,0580317;0,0152129
821;6644;0,241635;0,0571249;0,0159627
822;6652,8;0,239649;0,0558355;0,0160471
823;6661,6;0,238336;0,0552809;0,0166161
824;6670,4;0,237198;0,0547334;0,0174522
825;6679,2;0,235381;0,0535983;0,017563
826;6688;0,233774;0,0524803;0,0175491
827;6696,8;0,232381;0,0514943;0,0180241
828;6705,6;0,230151;0,0504234;0,0184402
829;6714,4;0,227573;0,0494603;0,0188369
830;6723,2;0,2256;0,0486867;0,0195436
831;6732;0,223164;0,0476451;0,0198844
832;6740,8;0,220082;0,0463179;0,0202263
833;6749,6;0,217103;0,0454594;0,0205165
834;6758,4;0,213444;0,0444623;0,0202605
835;6767,2;0,208448;0,0430303;0,0197575
836;6776;0,202405;0,0415219;0,0194321
837;6784,8;0,196257;0,0399146;0,0192456
838;6793,6;0,190036;0,0383663;0,018961
839;6802,4;0,184839;0,0375689;0,0191045
840;6811,2;0,181988;0,0374559;0,0197557
841;6820;0,181212;0,0375448;0,0204993
842;6828,8;0,182016;0,0379691;0,0214454
843;6837,6;0,183228;0,0387231;0,0223343
844;6846,4;0,183886;0,0390299;0,0227082
845;6855,2;0,184577;0,0394456;0,0231628
846;6864;0,184877;0,0396966;0,0234708
847;6872,8;0,185226;0,0401059;0,023944
848;6881,6;0,185706;0,0402047;0,0243232
849;6890,4;0,186094;0,0407379;0,0251087
850;6899,2;0,186067;0,0410162;0,0257371
851;6908;0,18598;0,0415574;0,0265496
852;6916,8;0,18498;0,0416564;0,0266294
853;6925,6;0,184097;0,0424367;0,0268198
854;6934,4;0,182864;0,0430322;0,0268097
855;6943,2;0,181081;0,043412;0,0269527
856;6952;0,179184;0,0437022;0,0271626
857;6960,8;0,177974;0,0444941;0,0277853
858;6969,6;0,176121;0,0446708;0,0278717
859;6978,4;0,174433;0,0450659;0,0277124
860;6987,2;0,17255;0,0454279;0,0275969
861;6996;0,170035;0,0457686;0,0275831
862;7004,8;0,16782;0,0462475;0,0278655
863;7013,6;0,166318;0,0470305;0,028305
864;7022,4;0,164684;0,0473863;0,0283091
865;7031,2;0,163014;0,0481144;0,0284327
866;7040;0,16042;0,0485734;0,0284302
867;7048,8;0,157503;0,0488681;0,0282307
868;7057,6;0,154642;0,0488513;0,0279213
869;7066,4;0,152074;0,0492655;0,0278888
870;7075,2;0,148917;0,0494762;0,0275788
871;7084;0,145652;0,05003;0,0273784
872;7092,8;0,141412;0,049994;0,0267426
873;7101,6;0,136642;0,0497292;0,0261531
874;7110,4;0,131471;0,0488985;0,025443
875;7119,2;0,126425;0,0478083;0,0246398
876;7128;0,122098;0,0468019;0,0239712
877;7136,8;0,119159;0,0465767;0,023873
878;7145,6;0,117283;0,0470069;0,023907
879;7154,4;0,116029;0,0478857;0,0239752
880;7163,2;0,114652;0,0482379;0,023652
881;7172;0,113389;0,0485171;0,0231882
882;7180,8;0,112277;0,048902;0,0228294
883;7189,6;0,109662;0,0486298;0,0223547
884;7198,4;0,109391;0,0494444;0,0225305
885;7207,2;0,109983;0,0505665;0,0229438
886;7216;0,110185;0,0513927;0,0233313
887;7224,8;0,110358;0,0519843;0,023522
888;7233,6;0,11021;0,0521894;0,0235452
889;7242,4;0,11014;0,0527981;0,0237073
890;7251,2;0,110354;0,0536648;0,023597
891;7260;0,110822;0,0548917;0,023495
892;7268,8;0,110665;0,055606;0,023063
893;7277,6;0,110921;0,0563412;0,0227587
894;7286,4;0,111076;0,0565603;0,0222103
895;7295,2;0,111507;0,0568712;0,0219513
896;7304;0,111599;0,0570443;0,0217727
897;7312,8;0,111958;0,0576425;0,0221413
898;7321,6;0,112254;0,058115;0,0221972
899;7330,4;0,112442;0,058185;0,0219972
900;7339,2;0,112316;0,0582105;0,0217789
901;7348;0,112134;0,0585527;0,0218777
902;7356,8;0,111853;0,0587073;0,0216279
903;7365,6;0,112085;0,0588824;0,0212342
904;7374,4;0,112529;0,0589472;0,0205428
905;7383,2;0,112045;0,0584235;0,0197046
906;7392;0,111373;0,0583058;0,0194103
907;7400,8;0,110194;0,057754;0,0190863
908;7409,6;0,108072;0,0565407;0,0185731
909;7418,4;0,106198;0,0556042;0,018463
910;7427,2;0,103968;0,0540434;0,018096
911;7436;0,101211;0,0520422;0,0172908
912;7444,8;0,0988701;0,0505933;0,016543
913;7453,6;0,0973337;0,0499338;0,0162272
914;7462,4;0,0958728;0,0492675;0,0156952
915;7471,2;0,0947567;0,0484761;0,0148838
916;7480;0,0937353;0,0478389;0,0141588
917;7488,8;0,0924467;0,0471505;0,01338
918;7497,6;0,0910551;0,0463757;0,0127558
919;7506,4;0,0900801;0,0456063;0,0125705
920;7515,2;0,0886656;0,0444748;0,0122493
921;7524;0,0875423;0,0435389;0,0119563
922;7532,8;0,0867156;0,042784;0,0116541
923;7541,6;0,0860087;0,04211;0,011455
924;7550,4;0,084817;0,041319;0,0108232
925;7559,2;0,084066;0,0410144;0,0103767
926;7568;0,0838412;0,0409425;0,0102845
927;7576,8;0,0836768;0,040955;0,0102813
928;7585,6;0,0835008;0,0408446;0,010137
929;7594,4;0,0833477;0,0406605;0,00994989
930;7603,2;0,0832852;0,0404416;0,00973126
931;7612;0,083383;0,040196;0,0097669
932;7620,8;0,0826125;0,0396879;0,00966666
933;7629,6;0,0816987;0,0395515;0,00962045
934;7638,4;0,0813392;0,0398382;0,00974515
935;7647,2;0,081082;0,0399764;0,00968325
936;7656;0,0806007;0,0396619;0,00928189
937;7664,8;0,0805946;0,0397411;0,00908328
938;7673,6;0,0809369;0,0400576;0,00902726
939;7682,4;0,0813953;0,0404903;0,00932791
940;7691,2;0,0811807;0,0408442;0,00943189
941;7700;0,080424;0,0409303;0,00931307
942;7708,8;0,07968;0,040966;0,00912237
943;7717,6;0,0795874;0,0414069;0,00914119
944;7726,4;0,0792972;0,0413864;0,00882764
945;7735,2;0,0790304;0,0413855;0,00871144
946;7744;0,0784416;0,0413587;0,00860184
947;7752,8;0,0779053;0,0416644;0,00882299
948;7761,6;0,0774007;0,0419323;0,00896731
949;7770,4;0,0767639;0,0418659;0,00880634
950;7779,2;0,0756434;0,0413036;0,00839604
951;7788;0,0749997;0,04146;0,00871103
952;7796,8;0,0744883;0,0416982;0,00901608
953;7805,6;0,0735048;0,0415542;0,00893262
954;7814,4;0,0725276;0,0416188;0,0088435
955;7823,2;0,0715099;0,0415175;0,00884733
956;7832;0,0699845;0,0407788;0,00876566
957;7840,8;0,0680961;0,0398351;0,0088489
958;7849,6;0,0649896;0,0383093;0,00830619
959;7858,4;0,0607168;0,0362178;0,0075386
960;7867,2;0,0556825;0,0330662;0,00670224
961;7876;0,0503214;0,0295732;0,00594061
962;7884,8;0,0457094;0,0269121;0,00540585
963;7893,6;0,0423827;0,0253269;0,0052134
964;7902,4;0,040022;0,0242141;0,0050277
965;7911,2;0,0385234;0,0237532;0,00505409
966;7920;0,0381765;0,0239058;0,00529926
967;7928,8;0,0390146;0,0245508;0,00562725
968;7937,6;0,0402051;0,0254683;0,00581265
969;7946,4;0,0413364;0,0264959;0,00607513
970;7955,2;0,0424388;0,0277426;0,0067437
971;7964;0,0433844;0,0289707;0,00749557
972;7972,8;0,0439398;0,0294723;0,00774261
973;7981,6;0,0448564;0,0299393;0,00803601
974;7990,4;0,0457922;0,0305336;0,00827322
975;7999,2;0,0464541;0,0309887;0,00847257
976;8008;0,0445937;0,0294758;0,00819745
977;8016,8;0,0450451;0,029859;0,00842979
978;8025,6;0,0459083;0,0307311;0,00887094
979;8034,4;0,0470125;0,0319153;0,00955174
980;8043,2;0,047247;0,0323779;0,00981006
981;8052;0,0473144;0,0325035;0,0101892
982;8060,8;0,0473728;0,0325368;0,0108712
983;8069,6;0,04755;0,0326445;0,011842
984;8078,4;0,04794;0,0329779;0,0129321
985;8087,2;0,048278;0,0333825;0,0138818
986;8096;0,0483825;0,0334444;0,0144768
987;8104,8;0,0485004;0,0333873;0,0149812
988;8113,6;0,0481583;0,0332386;0,0154614
989;8122,4;0,0476893;0,0332422;0,0161249
990;8131,2;0,0471418;0,0332038;0,017044
991;8140;0,0463269;0,0329077;0,018072
992;8148,8;0,0455682;0,0326943;0,0193965
993;8157,6;0,0451776;0,0327342;0,0209873
994;8166,4;0,0450598;0,0327123;0,0224206
995;8175,2;0,0445194;0,0323413;0,0235332
996;8184;0,0440332;0,0323732;0,0248841
997;8192,8;0,0434803;0,0324057;0,0262396
998;8201,6;0,0428295;0,0321009;0,0274908
999;8210,4;0,0419908;0,0315932;0,0287218
1000;8219,2;0,0412815;0,0311956;0,0300981
1001;8228;0,0408633;0,0311518;0,0317013
1002;8236,8;0,0405232;0,0313283;0,0331858
1003;8245,6;0,0399331;0,0312123;0,0343372
1004;8254,4;0,0391945;0,0309359;0,0354996
1005;8263,2;0,0387535;0,0308682;0,0369289
1006;8272;0,0381254;0,0308345;0,0382136
1007;8280,8;0,0373742;0,0306338;0,0394497
1008;8289,6;0,0369113;0,0302762;0,0407123
1009;8298,4;0,036546;0,0299096;0,0420702
1010;8307,2;0,0364327;0,0299669;0,0434555
1011;8316;0,0359541;0,0297098;0,0440192
1012;8324,8;0,035231;0,0294015;0,0439272
1013;8333,6;0,0344695;0,0293475;0,0439398
1014;8342,4;0,0339689;0,0295787;0,0443454
1015;8351,2;0,0335861;0,0296545;0,0447884
1016;8360;0,0334592;0,0295888;0,044971
1017;8368,8;0,0332748;0,0292654;0,0449144
1018;8377,6;0,0331125;0,0290605;0,04482
1019;8386,4;0,0325795;0,0284902;0,0443044
1020;8395,2;0,0317779;0,0278986;0,0436791
1021;8404;0,0309529;0,0275081;0,0429934
1022;8412,8;0,030309;0,027383;0,0424095
1023;8421,6;0,0293872;0,0267698;0,0414392
1024;8430,4;0,0284266;0,0258125;0,0404698
1025;8439,2;0,0276377;0,025049;0,0398387
1026;8448;0,0269222;0,0243936;0,0392624
1027;8456,8;0,0263709;0,0239239;0,0386299
1028;8465,6;0,0258595;0,0236405;0,0379516
1029;8474,4;0,0250255;0,0230533;0,0369182
1030;8483,2;0,0246144;0,0225544;0,0361427
1031;8492;0,0245849;0,022346;0,0358341
1032;8500,8;0,0246976;0,0223975;0,0358406
1033;8509,6;0,0245567;0,0223949;0,0358776
1034;8518,4;0,0242485;0,0223624;0,0358708
1035;8527,2;0,0238551;0,0222924;0,035788
1036;8536;0,0233195;0,022016;0,035577
1037;8544,8;0,0227495;0,0215446;0,0351886
1038;8553,6;0,0222539;0,0211073;0,0346488
1039;8562,4;0,0219689;0,0208716;0,0342123
1040;8571,2;0,0217891;0,0206427;0,0340434
1041;8580;0,0217316;0,0205585;0,0345518
1042;8588,8;0,0216198;0,0202744;0,0351498
1043;8597,6;0,0217045;0,0201004;0,0355611
1044;8606,4;0,0217126;0,0200133;0,035569
1045;8615,2;0,0213912;0,0199025;0,0354204
1046;8624;0,0209743;0,0197838;0,0355691
1047;8632,8;0,0208332;0,0196453;0,0358172
1048;8641,6;0,0210486;0,0197626;0,0361789
1049;8650,4;0,0212349;0,019827;0,0366715
1050;8659,2;0,0210856;0,0198385;0,0369886
1051;8668;0,0208231;0,01971;0,0370768
1052;8676,8;0,0205038;0,0193377;0,0367645
1053;8685,6;0,0201394;0,0191495;0,0367521
1054;8694,4;0,0198425;0,0190634;0,0371191
1055;8703,2;0,0198367;0,0189669;0,0374028
1056;8712;0,0201694;0,0189968;0,0376679
1057;8720,8;0,0201382;0,0187434;0,0376457
1058;8729,6;0,0196669;0,0183081;0,0373365
1059;8738,4;0,019413;0,018374;0,0372104
1060;8747,2;0,0191743;0,0186231;0,0369689
1061;8756;0,0185483;0,0184839;0,0364575
1062;8764,8;0,0182546;0,0183415;0,0362406
1063;8773,6;0,018403;0,0182606;0,0360985
1064;8782,4;0,0185095;0,0180014;0,0357876
1065;8791,2;0,0183969;0,0176148;0,0354903
1066;8800;0,0182945;0,0173807;0,0354267
1067;8808,8;0,0181215;0,0173282;0,035344
1068;8817,6;0,0179588;0,0173577;0,0351217
1069;8826,4;0,0168031;0,0162166;0,0324548
1070;8835,2;0,016523;0,0160318;0,0322144
1071;8844;0,0162345;0,0157154;0,0318944
1072;8852,8;0,0159667;0,0154262;0,0315226
1073;8861,6;0,0157618;0,0153389;0,0313395
1074;8870,4;0,015679;0,0154876;0,0312329
1075;8879,2;0,015498;0,015481;0,0308919
1076;8888;0,0151337;0,0151607;0,0304286
1077;8896,8;0,0149015;0,0147792;0,030035
1078;8905,6;0,0146071;0,0144083;0,0295039
1079;8914,4;0,0144132;0,0143189;0,028885
1080;8923,2;0,0141733;0,0144214;0,028263
1081;8932;0,0139049;0,0144146;0,0276776
1082;8940,8;0,0138755;0,0141992;0,027199
1083;8949,6;0,0137068;0,0137482;0,0265439
1084;8958,4;0,01344;0,0133118;0,0257877
1085;8967,2;0,0132421;0,0131945;0,025099
1086;8976;0,0127081;0,0127963;0,02401
1087;8984,8;0,0121347;0,0122661;0,0233052
1088;8993,6;0,0121745;0,012278;0,0236559
1089;9002,4;0,0121102;0,0123279;0,0240768
1090;9011,2;0,0120076;0,0124584;0,0244176
1091;9020;0,0122255;0,0127916;0,0247875
1092;9028,8;0,0120503;0,0125809;0,0245064
1093;9037,6;0,0115235;0,011986;0,023938
1094;9046,4;0,0111223;0,0115939;0,0236383
1095;9055,2;0,010785;0,0113347;0,0234986
1096;9064;0,0105372;0,011109;0,023143
1097;9072,8;0,0106869;0,0110434;0,0225641
1098;9081,6;0,0108518;0,0108921;0,0218595
1099;9090,4;0,0108431;0,0108484;0,0214506
1100;9099,2;0,0107117;0,0110186;0,021568
1101;9108;0,0102987;0,0110597;0,021725
1102;9116,8;0,00992415;0,010895;0,0216955
1103;9125,6;0,00989147;0,0104611;0,0216254
1104;9134,4;0,00998942;0,0099015;0,0213905
1105;9143,2;0,00993014;0,00955655;0,0210439
1106;9152;0,00992966;0,00976572;0,0208881
1107;9160,8;0,00977428;0,010051;0,0208839
1108;9169,6;0,0093872;0,0100284;0,0208734
1109;9178,4;0,00904826;0,00981497;0,0207379
1110;9187,2;0,00891554;0,00956587;0,0206465
1111;9196;0,00904946;0,00952635;0,020734
1112;9204,8;0,00895678;0,00933063;0,0206386
1113;9213,6;0,0086257;0,00908407;0,020467
1114;9222,4;0,00858813;0,0092316;0,020525
1115;9231,2;0,00857474;0,00930671;0,0204679
1116;9240;0,00837783;0,00908339;0,0201391
1117;9248,8;0,00799374;0,00867859;0,0196602
1118;9257,6;0,00765534;0,00839882;0,0191976
1119;9266,4;0,00746031;0,0081655;0,0187663
1120;9275,2;0,00730353;0,00787619;0,0184563
1121;9284;0,00711622;0,00755287;0,0182922
1122;9292,8;0,00688476;0,00714209;0,0181767
1123;9301,6;0,00674178;0,00696902;0,0180705
1124;9310,4;0,00657594;0,00688679;0,0176641
1125;9319,2;0,00627987;0,00665789;0,016977
1126;9328;0,00600976;0,00645287;0,0163968
1127;9336,8;0,00593513;0,00636068;0,0161332
1128;9345,6;0,00584969;0,00615166;0,0158892
1129;9354,4;0,00575844;0,00598494;0,0157935
1130;9363,2;0,00572966;0,00598393;0,0159156
1131;9372;0,00565695;0,00593973;0,015761
1132;9380,8;0,00553605;0,00582748;0,0153118
1133;9389,6;0,00559461;0,005936;0,0152562
1134;9398,4;0,00572367;0,0060643;0,0155972
1135;9407,2;0,0054968;0,00587665;0,0155567
1136;9416;0,00504077;0,00547987;0,0147701
1137;9424,8;0,00480131;0,00520685;0,0139843
1138;9433,6;0,00486317;0,00529728;0,0137959
1139;9442,4;0,00491741;0,00547522;0,0138409
1140;9451,2;0,0049018;0,00546847;0,0137367
1141;9460;0,00481941;0,00525604;0,0133834
1142;9468,8;0,00468402;0,00496318;0,0129922
1143;9477,6;0,00454446;0,00465501;0,0129213
1144;9486,4;0,00451287;0,00441725;0,0133168
1145;9495,2;0,0045294;0,00423559;0,0137132
1146;9504;0,00459066;0,00416976;0,013819
1147;9512,8;0,00444008;0,00414123;0,0136458
1148;9521,6;0,00422754;0,00424504;0,013684
1149;9530,4;0,00403866;0,00429593;0,0138243
1150;9539,2;0,00377719;0,00424119;0,0136848
1151;9548;0,00364594;0,00417059;0,0133422
1152;9556,8;0,00372805;0,00412839;0,013081
1153;9565,6;0,00389356;0,00412974;0,0131267
1154;9574,4;0,00402682;0,0041131;0,013183
1155;9583,2;0,00400675;0,00403289;0,0129861
1156;9592;0,00384353;0,00388166;0,012697
1157;9600,8;0,0036586;0,00374439;0,0125417
1158;9609,6;0,00360724;0,00375578;0,0125959
1159;9618,4;0,00352002;0,00365798;0,012432
1160;9627,2;0,00331061;0,00346763;0,0118008
1161;9636;0,00316351;0,00340302;0,0111866
