# Maxim DL
0, 75
1, 65
2, 65
3, 66
4, 68
5, 64
6, 68
7, 66
8, 63
9, 69
10, 64
11, 60
12, 56
13, 62
14, 66
15, 67
16, 72
17, 67
18, 54
19, 62
20, 67
21, 68
22, 68
23, 72
24, 76
25, 71
26, 63
27, 59
28, 70
29, 71
30, 73
31, 72
32, 68
33, 64
34, 64
35, 74
36, 78
37, 73
38, 51
39, 58
40, 61
41, 65
42, 74
43, 70
44, 72
45, 74
46, 69
47, 65
48, 67
49, 82
50, 69
51, 68
52, 73
53, 75
54, 70
55, 64
56, 70
57, 77
58, 65
59, 57
60, 60
61, 65
62, 70
63, 78
64, 77
65, 68
66, 62
67, 70
68, 73
69, 72
70, 78
71, 66
72, 71
73, 75
74, 77
75, 81
76, 81
77, 85
78, 74
79, 68
80, 62
81, 64
82, 68
83, 63
84, 64
85, 75
86, 76
87, 79
88, 80
89, 76
90, 72
91, 66
92, 72
93, 78
94, 69
95, 60
96, 78
97, 77
98, 78
99, 80
100, 86
101, 83
102, 77
103, 85
104, 86
105, 80
106, 74
107, 83
108, 81
109, 72
110, 73
111, 76
112, 73
113, 76
114, 81
115, 85
116, 77
117, 81
118, 94
119, 96
120, 91
121, 91
122, 97
123, 108
124, 112
125, 107
126, 109
127, 106
128, 128
129, 144
130, 150
131, 161
132, 217
133, 257
134, 321
135, 459
136, 706
137, 1161
138, 2192
139, 5653
140, 14197
141, 29073
142, 47988
143, 60306
144, 63181
145, 63559
146, 61831
147, 55089
148, 40879
149, 21849
150, 7482
151, 2469
152, 1131
153, 637
154, 405
155, 277
156, 218
157, 186
158, 164
159, 150
160, 149
161, 138
162, 118
163, 120
164, 112
165, 108
166, 94
167, 88
168, 92
169, 93
170, 95
171, 96
172, 91
173, 99
174, 94
175, 92
176, 83
177, 88
178, 87
179, 80
180, 82
181, 84
182, 82
183, 79
184, 86
185, 91
186, 83
187, 81
188, 66
189, 72
190, 70
191, 70
192, 74
193, 74
194, 77
195, 76
196, 73
197, 66
198, 67
199, 72
200, 68
201, 70
202, 74
203, 75
204, 70
205, 72
206, 72
207, 77
208, 75
209, 61
210, 59
211, 65
212, 79
213, 87
214, 66
215, 61
216, 74
217, 72
218, 67
219, 64
220, 70
221, 69
222, 72
223, 77
224, 62
225, 62
226, 66
227, 70
228, 62
229, 70
230, 70
231, 66
232, 66
233, 72
234, 80
235, 73
236, 69
237, 64
238, 70
239, 72
240, 64
241, 74
242, 71
243, 67
244, 66
245, 64
246, 68
247, 61
248, 68
249, 74
250, 68
251, 68
252, 61
253, 58
254, 64
255, 67
256, 70
257, 63
258, 69
259, 72
260, 75
261, 78
262, 76
263, 70
264, 67
265, 67
266, 63
267, 79
268, 78
269, 77
270, 68
271, 66
272, 73
273, 67
274, 68
275, 72
276, 66
277, 72
278, 73
279, 77
280, 80
281, 78
282, 68
283, 64
284, 59
285, 75
286, 72
287, 66
288, 73
289, 67
290, 71
291, 76
292, 74
293, 75
294, 69
295, 74
296, 78
297, 68
298, 58
299, 66
300, 72
301, 69
302, 62
303, 58
304, 70
305, 63
306, 62
307, 58
308, 59
309, 58
310, 68
311, 72
312, 64
313, 72
314, 73
315, 59
316, 63
317, 63
318, 62
319, 65
320, 68
321, 64
322, 68
323, 73
324, 61
325, 69
326, 65
327, 63
328, 69
329, 69
330, 69
331, 68
332, 70
333, 83
334, 62
335, 60
336, 66
337, 66
338, 59
339, 70
340, 68
341, 64
342, 74
343, 70
344, 78
345, 82
346, 68
347, 70
348, 66
349, 74
350, 73
351, 81
352, 69
353, 71
354, 65
355, 66
356, 66
357, 81
358, 75
359, 74
360, 61
361, 62
362, 61
363, 63
364, 73
365, 71
366, 76
367, 73
368, 70
369, 74
370, 65
371, 64
372, 73
373, 78
