# Wavelength (A)     Intensity in channel 1     Intensity in channel 2     Intensity in channel 3
2040.240775     126.231000     87.282100     85.205100
2045.759775     127.231000     90.794900     86.435900
2051.278775     128.026000     89.743600     88.076900
2056.797775     128.513000     90.128200     90.205100
2062.316775     125.795000     88.384600     90.487200
2067.835775     123.897000     88.769200     90.564100
2073.354775     126.385000     92.102600     95.128200
2078.873775     130.513000     94.025600     96.461500
2084.392775     133.231000     94.666700     96.435900
2089.911775     126.513000     89.205100     89.846200
2095.430775     123.821000     87.307700     89.205100
2100.949775     125.051000     88.359000     89.846200
2106.468775     126.231000     89.359000     90.102600
2111.987775     127.564000     90.794900     91.435900
2117.506775     125.949000     90.692300     91.871800
2123.025775     121.949000     90.589700     89.153800
2128.544775     117.359000     89.641000     85.846200
2134.063775     113.744000     89.641000     87.153800
2139.582775     110.051000     87.179500     86.384600
2145.101775     118.231000     90.794900     91.846200
2150.620775     121.538000     91.871800     91.333300
2156.139775     121.949000     89.512800     88.461500
2161.658775     120.154000     90.076900     88.076900
2167.177775     124.667000     90.794900     92.589700
2172.696775     126.051000     88.820500     93.820500
2178.215775     126.667000     88.435900     92.384600
2183.734775     126.256000     87.564100     89.743600
2189.253775     128.205000     91.307700     91.000000
2194.772775     125.718000     90.282100     90.359000
2200.291775     127.513000     90.871800     90.743600
2205.810775     127.436000     90.051300     89.820500
2211.329775     125.231000     87.846200     85.897400
2216.848775     123.590000     83.307700     83.846200
2222.367775     127.718000     83.743600     86.974400
2227.886775     134.462000     89.230800     92.333300
2233.405775     135.231000     89.333300     90.179500
2238.924775     131.897000     88.666700     88.615400
2244.443775     132.179000     90.282100     92.000000
2249.962775     129.026000     87.487200     90.025600
2255.481775     132.359000     86.538500     88.820500
2261.000775     135.590000     88.538500     90.461500
2266.519775     136.513000     88.794900     90.333300
2272.038775     135.462000     89.000000     91.179500
2277.557775     134.949000     90.846200     91.076900
2283.076775     132.308000     91.205100     90.179500
2288.595775     130.000000     90.076900     89.743600
2294.114775     128.128000     87.666700     90.794900
2299.633775     127.821000     86.333300     90.282100
2305.152775     129.256000     87.256400     90.692300
2310.671775     125.462000     86.461500     91.538500
2316.190775     127.923000     91.000000     96.051300
2321.709775     126.128000     90.846200     94.307700
2327.228775     124.744000     88.820500     92.102600
2332.747775     125.667000     89.897400     91.948700
2338.266775     123.872000     89.051300     90.410300
2343.785775     121.974000     88.641000     90.871800
2349.304775     122.718000     89.487200     92.820500
2354.823775     124.308000     88.948700     92.512800
2360.342775     125.949000     89.179500     90.948700
2365.861775     128.846000     88.820500     91.487200
2371.380775     130.205000     88.256400     91.435900
2376.899775     127.487000     86.410300     90.025600
2382.418775     126.256000     88.025600     91.256400
2387.937775     129.538000     90.282100     93.000000
2393.456775     126.846000     88.051300     90.743600
2398.975775     132.026000     87.564100     90.692300
2404.494775     130.282000     85.025600     89.512800
2410.013775     132.462000     87.230800     88.897400
2415.532775     132.026000     88.333300     88.564100
2421.051775     132.282000     90.051300     89.666700
2426.570775     130.590000     90.205100     91.025600
2432.089775     132.462000     92.692300     94.512800
2437.608775     130.923000     91.205100     93.102600
2443.127775     129.154000     90.230800     90.846200
2448.646775     122.718000     88.051300     86.871800
2454.165775     119.128000     87.923100     85.256400
2459.684775     119.641000     88.692300     85.282100
2465.203775     124.513000     90.102600     89.205100
2470.722775     125.718000     89.333300     90.435900
2476.241775     123.333000     87.974400     89.461500
2481.760775     122.821000     88.128200     89.769200
2487.279775     121.949000     88.307700     89.974400
2492.798775     122.846000     87.846200     90.128200
2498.317775     121.462000     88.615400     92.615400
2503.836775     122.385000     86.256400     92.153800
2509.355775     124.564000     85.564100     90.359000
2514.874775     129.256000     88.538500     94.000000
2520.393775     130.436000     89.205100     93.128200
2525.912775     131.205000     90.564100     94.871800
2531.431775     126.487000     89.974400     93.282100
2536.950775     122.795000     88.128200     89.179500
2542.469775     124.333000     87.487200     87.205100
2547.988775     129.103000     91.179500     93.256400
2553.507775     131.487000     92.871800     96.128200
2559.026775     127.897000     88.974400     92.051300
2564.545775     130.333000     90.102600     94.025600
2570.064775     126.769000     88.948700     91.923100
2575.583775     124.821000     87.102600     91.589700
2581.102775     121.256000     84.538500     89.692300
2586.621775     122.692000     84.846200     88.359000
2592.140775     123.615000     84.512800     86.410300
2597.659775     125.333000     85.410300     87.897400
2603.178775     126.000000     86.076900     89.179500
2608.697775     124.821000     84.564100     86.076900
2614.216775     124.744000     83.512800     84.641000
2619.735775     124.718000     86.794900     85.974400
2625.254775     123.974000     88.641000     86.102600
2630.773775     124.154000     88.461500     83.846200
2636.292775     126.974000     88.384600     85.102600
2641.811775     128.333000     88.359000     86.359000
2647.330775     128.051000     88.307700     89.307700
2652.849775     127.974000     88.435900     92.051300
2658.368775     125.615000     88.025600     92.435900
2663.887775     123.077000     85.615400     88.794900
2669.406775     120.897000     85.717900     86.589700
2674.925775     120.128000     87.923100     88.282100
2680.444775     121.026000     88.717900     90.256400
2685.963775     124.949000     91.512800     92.512800
2691.482775     124.641000     91.153800     89.717900
2697.001775     124.564000     91.384600     88.923100
2702.520775     126.051000     90.282100     89.333300
2708.039775     127.359000     92.794900     93.230800
2713.558775     128.231000     94.282100     96.153800
2719.077775     123.692000     89.410300     93.256400
2724.596775     123.872000     87.359000     92.615400
2730.115775     126.897000     88.025600     93.769200
2735.634775     126.923000     87.769200     92.359000
2741.153775     124.256000     88.384600     91.589700
2746.672775     124.410000     90.410300     93.461500
2752.191775     124.077000     89.410300     91.820500
2757.710775     123.154000     87.692300     88.359000
2763.229775     126.154000     89.282100     88.615400
2768.748775     128.974000     88.974400     86.333300
2774.267775     129.513000     88.794900     84.974400
2779.786775     128.872000     88.051300     86.102600
2785.305775     129.256000     87.820500     86.743600
2790.824775     129.564000     86.871800     87.000000
2796.343775     132.282000     86.230800     87.102600
2801.862775     135.179000     86.230800     86.461500
2807.381775     135.436000     87.564100     87.897400
2812.900775     129.154000     85.692300     86.538500
2818.419775     128.872000     87.128200     88.205100
2823.938775     126.821000     87.871800     90.769200
2829.457775     124.513000     88.487200     93.743600
2834.976775     121.795000     87.333300     91.461500
2840.495775     124.795000     89.615400     91.000000
2846.014775     127.769000     89.692300     89.538500
2851.533775     131.385000     90.282100     90.153800
2857.052775     131.590000     90.179500     90.435900
2862.571775     128.744000     88.820500     91.615400
2868.090775     129.590000     91.666700     93.974400
2873.609775     128.385000     92.000000     93.230800
2879.128775     127.846000     93.794900     93.512800
2884.647775     125.051000     92.641000     91.025600
2890.166775     125.821000     91.846200     91.076900
2895.685775     123.051000     87.512800     88.897400
2901.204775     122.795000     89.205100     88.717900
2906.723775     123.462000     91.717900     90.179500
2912.242775     124.949000     91.769200     92.487200
2917.761775     121.692000     90.435900     94.948700
2923.280775     119.205000     87.179500     95.179500
2928.799775     121.333000     88.179500     94.743600
2934.318775     123.513000     88.717900     93.000000
2939.837775     126.000000     88.717900     92.717900
2945.356775     125.692000     87.666700     92.000000
2950.875775     125.205000     89.000000     92.589700
2956.394775     124.308000     89.102600     92.128200
2961.913775     122.564000     88.846200     92.948700
2967.432775     123.077000     89.487200     95.282100
2972.951775     126.308000     89.333300     94.948700
2978.470775     128.359000     87.794900     95.153800
2983.989775     132.769000     90.666700     94.846200
2989.508775     127.667000     88.923100     91.769200
2995.027775     125.718000     90.974400     90.717900
3000.546775     122.692000     90.871800     90.512800
3006.065775     122.282000     89.897400     89.564100
3011.584775     122.615000     87.641000     87.461500
3017.103775     123.308000     87.000000     87.205100
3022.622775     124.205000     89.820500     87.974400
3028.141775     125.846000     91.333300     89.461500
3033.660775     125.821000     88.974400     86.435900
3039.179775     132.897000     91.512800     92.179500
3044.698775     135.615000     88.692300     95.435900
3050.217775     134.692000     89.307700     98.897400
3055.736775     128.256000     89.205100     96.051300
3061.255775     122.436000     87.461500     90.000000
3066.774775     122.821000     87.923100     86.923100
3072.293775     127.615000     90.948700     88.871800
3077.812775     129.692000     90.923100     89.948700
3083.331775     127.641000     90.871800     88.769200
3088.850775     126.564000     90.589700     86.743600
3094.369775     128.308000     91.333300     87.948700
3099.888775     127.564000     90.461500     87.512800
3105.407775     125.282000     89.179500     85.589700
3110.926775     126.436000     91.846200     87.205100
3116.445775     126.282000     91.179500     86.512800
3121.964775     127.026000     91.871800     87.282100
3127.483775     130.462000     93.282100     91.666700
3133.002775     129.410000     92.820500     93.692300
3138.521775     128.897000     90.974400     94.923100
3144.040775     131.026000     92.359000     95.871800
3149.559775     128.231000     91.666700     94.820500
3155.078775     125.282000     89.153800     93.871800
3160.597775     126.256000     88.435900     92.589700
3166.116775     126.205000     87.384600     91.256400
3171.635775     125.744000     88.205100     91.487200
3177.154775     127.205000     89.333300     92.769200
3182.673775     126.692000     89.307700     92.461500
3188.192775     120.667000     87.359000     90.410300
3193.711775     120.410000     89.717900     92.051300
3199.230775     123.923000     93.871800     94.871800
3204.749775     125.795000     93.179500     94.564100
3210.268775     123.949000     89.820500     91.974400
3215.787775     120.872000     88.230800     90.384600
3221.306775     115.615000     87.230800     90.666700
3226.825775     117.308000     87.435900     94.487200
3232.344775     121.436000     89.179500     98.871800
3237.863775     123.154000     89.871800     97.333300
3243.382775     121.795000     88.384600     94.051300
3248.901775     120.641000     86.435900     88.692300
3254.420775     123.256000     86.871800     85.153800
3259.939775     130.333000     91.179500     86.333300
3265.458775     132.231000     92.538500     89.615400
3270.977775     129.872000     91.615400     89.974400
3276.496775     124.949000     88.717900     85.666700
3282.015775     116.051000     84.948700     83.205100
3287.534775     117.821000     86.333300     85.769200
3293.053775     121.000000     85.512800     87.384600
3298.572775     121.897000     85.717900     89.820500
3304.091775     126.308000     88.794900     95.487200
3309.610775     126.795000     88.410300     95.666700
3315.129775     124.897000     86.205100     89.615400
3320.648775     122.128000     86.230800     86.000000
3326.167775     123.487000     88.102600     86.000000
3331.686775     120.667000     87.717900     87.846200
3337.205775     124.308000     90.487200     91.205100
3342.724775     122.667000     90.153800     91.794900
3348.243775     118.513000     85.820500     87.974400
3353.762775     115.872000     85.230800     89.230800
3359.281775     117.590000     89.615400     92.230800
3364.800775     114.897000     88.282100     91.359000
3370.319775     116.410000     87.512800     93.076900
3375.838775     117.256000     86.153800     94.076900
3381.357775     119.795000     86.641000     96.102600
3386.876775     121.641000     86.384600     97.230800
3392.395775     123.667000     87.230800     97.000000
3397.914775     126.872000     87.794900     96.897400
3403.433775     130.051000     89.666700     97.128200
3408.952775     129.590000     85.743600     91.205100
3414.471775     132.667000     87.615400     92.717900
3419.990775     135.641000     87.230800     93.205100
3425.509775     136.897000     88.333300     93.820500
3431.028775     138.513000     89.128200     93.512800
3436.547775     136.333000     88.538500     91.307700
3442.066775     132.821000     88.846200     88.564100
3447.585775     130.410000     89.820500     88.179500
3453.104775     129.513000     92.000000     90.205100
3458.623775     129.282000     89.897400     87.205100
3464.142775     130.051000     88.076900     86.333300
3469.661775     132.128000     90.384600     87.410300
3475.180775     130.974000     90.435900     89.871800
3480.699775     127.974000     87.769200     90.487200
3486.218775     125.436000     86.153800     93.076900
3491.737775     129.538000     87.923100     94.769200
3497.256775     127.667000     85.564100     91.871800
3502.775775     128.590000     85.846200     88.282100
3508.294775     134.205000     90.692300     91.487200
3513.813775     132.436000     91.230800     91.410300
3519.332775     125.846000     90.205100     89.897400
