153, 124.051, 86.4615, 88.0256
154, 128.59, 89.0256, 90.5897
155, 128.769, 89.8205, 90.8718
156, 127.231, 90.4103, 89.5128
157, 126, 91.7436, 87.7949
158, 127.59, 91.8462, 86.8718
159, 130.718, 91.9487, 89.9487
160, 128.359, 88.7436, 92.5641
161, 127.538, 88.7436, 95.6154
162, 127.231, 89.5385, 95.3077
163, 128.308, 89.4359, 91.3846
164, 125.897, 87.8205, 87.7179
165, 127.436, 88.7949, 89.2821
166, 129.282, 90.2821, 93.0513
167, 130.385, 90.5128, 94.4872
168, 126.872, 87.5385, 92.0513
169, 125.077, 87.9487, 91.4615
170, 122.308, 88.2051, 89.4359
171, 118.487, 86.1282, 87.5641
172, 120.359, 85.4103, 83.9231
173, 124.923, 86.9487, 83.7692
174, 131.333, 91.8462, 86.7949
175, 128.103, 90.0513, 87.4872
176, 124.462, 87.8462, 89.0513
177, 123.821, 86, 90.3846
178, 126.077, 84.5128, 89.7949
179, 128.41, 83.2821, 88.8462
180, 127.821, 83.5897, 87.2308
181, 130.128, 84.4103, 87.5897
182, 130.385, 85.4359, 89.4615
183, 130.59, 85.6667, 88.1795
184, 126.795, 85.5641, 87.3077
185, 122.538, 87.641, 88.359
186, 118.513, 87.8462, 88
187, 115.974, 86.0513, 88.0769
188, 115.385, 85.7436, 89.5641
189, 118.513, 87.1538, 91.6667
190, 120.308, 87.9487, 91.1282
191, 121.59, 88.8205, 90
192, 119.692, 86.6667, 88.4615
193, 121.154, 87.9487, 90.5897
194, 120.974, 88.5897, 91.5385
195, 123.949, 89.3077, 93.7949
196, 120.923, 87.5641, 93.8718
197, 115.821, 85.8718, 92.3333
198, 115.308, 85, 90.5385
199, 117.487, 84.7179, 88.7179
200, 118.462, 82.8205, 86.7949
201, 125.41, 87.7179, 92.2308
202, 126.051, 88.9744, 93.1795
203, 125.385, 88.2308, 93.8462
204, 122.359, 87.9744, 94.2051
205, 124.641, 88.4615, 95.2564
206, 124.026, 85.7692, 94.1795
207, 126.487, 86.7949, 91.8205
208, 127.359, 89.0256, 89.3077
209, 126.923, 90.3333, 87.8718
210, 124.513, 89.7692, 83.8462
211, 122.59, 87.1026, 81.5128
212, 124.692, 87.1795, 83.9231
213, 128.436, 87.9487, 86.7179
214, 127.641, 88.2821, 87.1026
215, 126.692, 88.7692, 86.3846
216, 126.769, 89.5897, 89.5128
217, 124.385, 90.2564, 91.0513
218, 123.821, 90.5897, 93.0513
219, 122.077, 87.9744, 89.1795
